City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,edinburgh of the seven seas,-37.0676,-12.3116,17.91,94,100,5.89,SH,1736468686
1,iqaluit,63.7506,-68.5145,-16.15,84,100,1.54,CA,1736468687
2,west island,-12.1568,96.8225,23.99,94,75,4.12,CC,1736468688
3,port-aux-francais,-49.35,70.2167,4.31,93,100,23.76,TF,1736468690
4,greymouth,-42.4667,171.2,18.09,77,81,2.93,NZ,1736468691
5,szczytno,53.5626,20.9875,4.96,93,75,2.57,PL,1736468429
6,papatowai,-46.5619,169.4708,14.92,73,97,3.13,NZ,1736468693
7,puerto ayora,-0.7393,-90.3518,24.01,85,98,3.14,EC,1736468694
8,yellowknife,62.456,-114.3525,-22.47,92,75,5.66,CA,1736468695
9,grytviken,-54.2811,-36.5092,4.89,97,100,1.46,GS,1736468697
10,cestos city,5.46,-9.5828,27.24,78,100,3.94,LR,1736468698
11,college,64.8569,-147.8028,-5.01,85,100,3.09,US,1736468699
12,balykshi,47.0667,51.8667,-2.0,86,75,3.0,KZ,1736468700
13,aswan,24.0934,32.907,15.82,43,73,3.54,EG,1736468701
14,touros,-5.1989,-35.4608,26.54,82,67,4.18,BR,1736468702
15,waitangi,-43.9535,-176.5597,13.79,73,86,7.15,NZ,1736468703
16,pontianak,-0.0333,109.3333,23.99,100,75,1.03,ID,1736468705
17,ranau,5.9538,116.6641,22.42,95,90,1.02,MY,1736468706
18,puerto natales,-51.7236,-72.4875,13.25,50,20,5.14,CL,1736468707
19,castelldefels,41.2779,1.9703,15.17,60,0,4.12,ES,1736468708
20,avarua,-21.2078,-159.775,25.03,94,75,4.12,CK,1736468709
21,hasaki,35.7333,140.8333,4.61,40,49,9.43,JP,1736468710
22,kuraymah,18.55,31.85,16.76,36,3,4.25,SD,1736468712
23,codrington,-38.2667,141.9667,26.67,38,72,3.01,AU,1736468714
24,east ballina,-28.8667,153.5833,23.34,79,100,2.11,AU,1736468715
25,tolanaro,-25.0319,46.9987,27.04,83,20,8.23,MG,1736468716
26,parvatipuram,18.7833,83.4333,15.36,89,0,1.37,IN,1736468717
27,bilibino,68.0546,166.4372,-27.51,98,100,0.98,RU,1736468718
28,santa catalina,9.3337,122.8637,27.27,81,96,3.23,PH,1736468720
29,blackmans bay,-43.0167,147.3167,26.4,49,48,2.63,AU,1736468721
30,kailua-kona,19.6406,-155.9956,26.98,77,40,3.6,US,1736468722
31,alotau,-10.3069,150.4462,31.39,60,91,2.16,PG,1736468723
32,olonkinbyen,70.9221,-8.7187,-7.46,88,100,11.84,SJ,1736468724
33,banda aceh,5.5577,95.3222,24.76,83,83,5.96,ID,1736468725
34,adamstown,-25.066,-130.1015,23.83,79,100,12.86,PN,1736468726
35,stanley,54.868,-1.6985,-1.93,81,75,5.14,GB,1736468728
36,invercargill,-46.4,168.35,17.23,76,90,3.58,NZ,1736468729
37,jiaozuo,35.2397,113.2331,-1.81,33,11,3.0,CN,1736468730
38,nar'yan-mar,67.6713,53.087,-8.83,94,100,4.62,RU,1736468731
